0808280001,133,372,31-01-01,080715
0808280001,133,708,31-01-01,080808
0808280001,132,1200,31-01-01,080807
0808280001,067,600,31-01-01,080721
0808280002,077,5400,31-01-01,080803
0808280002,045,960,31-01-01,080812
0808280003,040,800,31-01-01,080812
0808280003,061,540,31-01-01,080803
0808280004,133,1200,32-04-01,080826
0808280004,132,1200,32-04-01,080807
0808280004,124,2040,32-04-01,080106
0808280005,077,3000,32-04-01,080819
0808290001,001,48,61-01-01,080701
0808290002,001,96,35-01-01,080701
0808290003,069,300,31010100,080826
