0808270003,132,480,32040403,080807
0808270003,133,600,32040403,080808
0808270003,124,840,32040403,080106
0808270003,067,240,32040403,080721
0808270004,077,900,32040403,080803
0808270005,077,3000,32-05-01,080803
0808270006,067,240,32-05-01,080721
0808270006,040,120,32-05-01,080812
0808270006,128,60,32-05-01,080401
0808270007,077,6000,32-02-01,080803
0808270007,056,300,32-02-01,080803
0808270007,060,150,32-02-01,080702
0808270007,085,150,32-02-01,080701
0808270001,124,720,45-01-01,080106
0808270001,133,120,45-01-01,080715
0808270001,132,120,45-01-01,080709
0808270002,077,1500,32040306,080803
0808270008,047,60,32-02-01,080701
0808270008,067,192,32-02-01,080701
0808270008,067,48,32-02-01,080721
