080703127229057925,080703127229057925,2,
080703127215147136,080703127229057925,1,
080703127287395259,080703127229057925,1,
080703127251445081,080703127229057925,1,
080703127273279250,080703127229057925,1,
080703127257406068,080703127229057925,1,
080703127231161754,080703127229057925,1,
080703127229777264,080703127229057925,1,
080703127259254130,080703127229057925,1,
080703127206579800,080703127229057925,1,
080703127218245758,080703127229057925,1,
080703127240013635,080703127229057925,1,
080703127230072331,080703127229057925,1,
080703127234746336,080703127229057925,1,
080703127250907913,080703127229057925,1,
080703127265553088,080703127229057925,1,
080703127257123655,080703127229057925,1,
080703127272317021,080703127229057925,1,
080703127210447835,080703127229057925,1,
080703127226678097,080703127229057925,1,
080703127271707467,080703127229057925,1,
080703127292773769,080703127229057925,1,
080703127267155376,080703127229057925,1,
080703127295588235,080703127229057925,1,
080703127245095631,080703127229057925,1,
080703127245004923,080703127229057925,1,
080703127234232811,080703127229057925,1,
080703127212563487,080703127229057925,1,
080703127229496741,080703127229057925,1,
080703127272600489,080703127229057925,1,
080703127283059145,080703127229057925,1,
080703127299848439,080703127299848439,2,
080703127200380531,080703127299848439,1,
080703127299543623,080703127299848439,1,
080703127275112091,080703127299848439,1,
080703127233768784,080703127299848439,1,
080703127281569383,080703127299848439,1,
080703127294859479,080703127299848439,1,
080703127272681353,080703127299848439,1,
080703127280882902,080703127299848439,1,
080703127217971259,080703127299848439,1,
080703127220659593,080703127299848439,1,
080703127296037461,080703127299848439,1,
080703127274581884,080703127299848439,1,
080703127232807703,080703127299848439,1,
080703127217034550,080703127299848439,1,
080703127289552999,080703127299848439,1,
080703127265075997,080703127299848439,1,
080703127215556419,080703127299848439,1,
080703127247404134,080703127299848439,1,
080703127201435631,080703127299848439,1,
080703127215633913,080703127299848439,1,
080703127299319270,080703127299848439,1,
080703127252029019,080703127299848439,1,
080703127215168162,080703127299848439,1,
080703127265658527,080703127299848439,1,
080703127235367552,080703127299848439,1,
080703127293210778,080703127299848439,1,
080703127251730944,080703127299848439,1,
080703127288327303,080703127299848439,1,
080703127285109139,080703127299848439,1,
080703127223246097,080703127299848439,1,
080703127272642962,080703127272642962,2,
080703127214943035,080703127272642962,1,
080703127201725693,080703127272642962,1,
080703127291419548,080703127272642962,1,
